time;ax;ay;az;aT
0,0060;-0,0660;0,1346;0,4881;0,511
0,0070;-0,1298;0,1716;0,5706;0,610
0,0070;-0,1617;0,1980;0,6699;0,717
0,0140;-0,1721;0,2346;0,8700;0,917
0,0210;-0,1112;0,1889;0,9951;1,019
0,0220;-0,0877;0,1107;0,9690;0,979
0,0260;-0,1447;0,0657;0,8496;0,864
0,0420;-0,1634;0,0242;0,6503;0,671
0,0420;-0,1810;0,0045;0,4092;0,447
0,0430;-0,2495;-0,0107;0,0558;0,256
0,0610;-0,2824;-0,0230;-0,1867;0,339
0,0620;-0,2424;-0,0436;-0,5111;0,567
0,0620;-0,1597;-0,0490;-0,7740;0,792
0,0630;-0,1285;-0,1232;-0,9700;0,986
0,1030;-0,0954;-0,2440;-1,0895;1,121
0,1040;-0,0604;-0,2831;-1,1568;1,192
0,1040;0,0304;-0,2633;-1,0154;1,049
0,1050;0,1362;-0,2076;-0,8137;0,851
0,1050;0,2029;-0,1260;-0,6165;0,661
0,1060;0,2308;-0,0693;-0,5249;0,578
0,1060;0,1754;-0,0185;-0,4421;0,476
0,1060;0,1191;0,0523;-0,4322;0,451
0,1070;0,0742;0,0655;-0,4845;0,494
0,1170;-0,0273;0,0858;-0,5044;0,512
0,1180;-0,0529;0,1300;-0,5254;0,544
0,1310;-0,0873;0,1199;-0,4555;0,479
0,1320;-0,0114;0,0902;-0,3988;0,409
0,1320;0,0601;0,0667;-0,4483;0,457
0,1440;0,0499;0,0160;-0,5238;0,526
0,1440;0,0266;-0,0297;-0,5453;0,547
0,1600;0,0518;-0,0466;-0,6025;0,607
0,1620;0,1103;-0,0403;-0,6404;0,651
0,1620;0,1429;-0,0767;-0,5839;0,606
0,1630;0,1615;-0,1150;-0,5885;0,621
0,2150;0,1801;-0,1790;-0,5321;0,590
0,2160;0,2161;-0,1451;-0,3466;0,433
0,2160;0,2259;-0,1640;-0,3130;0,419
0,2160;0,2063;-0,1724;-0,2254;0,351
0,2170;0,1636;-0,1908;-0,1543;0,295
0,2170;0,1061;-0,1785;-0,0855;0,225
0,2180;0,1193;-0,1704;-0,0331;0,211
0,2180;0,1305;-0,1883;-0,0354;0,232
0,2190;0,1542;-0,1851;-0,0265;0,242
0,2190;0,1517;-0,1431;-0,0007;0,209
0,2190;0,1166;-0,0834;-0,0285;0,146
0,2280;0,1191;-0,0768;-0,0871;0,166
0,2280;0,1051;-0,0523;-0,1754;0,211
0,2320;0,0912;0,0106;-0,2742;0,289
0,2360;0,1113;0,0742;-0,3467;0,372
0,2410;0,0865;0,0729;-0,3667;0,384
0,2460;0,0395;0,0321;-0,3235;0,327
0,2510;0,0108;-0,0385;-0,2458;0,249
0,2560;0,0033;-0,1193;-0,1228;0,171
0,2610;0,0226;-0,1351;0,0418;0,143
0,2660;0,0459;-0,1855;0,1823;0,264
0,2720;0,1011;-0,2315;0,2978;0,391
0,2760;0,1397;-0,2439;0,3728;0,467
0,2950;0,1511;-0,2525;0,3740;0,476
0,2950;0,1904;-0,2536;0,3049;0,440
0,2960;0,1956;-0,2360;0,2732;0,411
0,2970;0,1920;-0,2045;0,2561;0,380
0,3430;0,2061;-0,1639;0,2643;0,373
0,3440;0,2163;-0,1581;0,3204;0,418
0,3440;0,2070;-0,1885;0,3431;0,443
0,3450;0,2117;-0,2469;0,3767;0,498
0,3460;0,2042;-0,3340;0,3545;0,528
0,3460;0,2367;-0,3480;0,3600;0,554
0,3460;0,2324;-0,3621;0,3037;0,527
0,3470;0,2219;-0,2719;0,2788;0,448
0,3470;0,1658;-0,1559;0,1966;0,301
0,3480;0,1425;-0,0641;0,1051;0,188
0,3560;0,1025;-0,0007;0,0795;0,130
