time;ax;ay;az;aT
0,0290;-0,0430;0,1352;-0,0912;0,169
0,0300;0,0739;0,2163;-0,0203;0,229
0,0310;0,1325;0,2131;0,0298;0,253
0,0320;0,1335;0,2329;0,0273;0,270
0,0330;0,1320;0,2348;0,0416;0,273
0,0350;0,1101;0,1807;0,0202;0,213
0,0360;0,0598;0,0505;0,0360;0,086
0,0370;0,0125;-0,0322;0,0364;0,050
0,0380;0,0029;-0,0572;-0,0141;0,059
0,0470;0,0106;-0,0985;-0,0997;0,141
0,0490;0,0733;-0,1288;-0,0608;0,160
0,0540;0,1250;-0,0959;-0,0969;0,185
0,0700;0,1359;-0,0251;-0,0172;0,139
0,0710;0,1208;0,0095;0,0515;0,132
0,0710;0,0824;0,0354;0,0356;0,096
0,1040;0,0492;0,0851;0,0139;0,099
0,1050;0,0088;0,0695;-0,0253;0,074
0,1050;-0,0236;0,0915;-0,0320;0,100
0,1060;-0,1102;0,0523;-0,0125;0,123
0,1060;-0,1087;0,0312;-0,0538;0,125
0,1070;-0,1865;0,0163;-0,0150;0,188
0,1070;-0,2438;0,0672;0,0115;0,253
0,1150;-0,3593;0,1241;-0,1907;0,425
0,1160;-0,3432;0,1765;-0,3275;0,506
0,1200;-0,2935;0,1960;-0,3017;0,464
0,1270;-0,2601;0,1258;-0,2525;0,384
0,1280;-0,2246;0,1113;-0,3120;0,400
0,1340;-0,1778;0,0772;-0,3664;0,415
0,1390;-0,1448;0,0281;-0,3944;0,421
0,1440;-0,0953;-0,0206;-0,3782;0,391
0,1480;-0,0962;-0,0643;-0,4002;0,417
0,1530;-0,1205;-0,0875;-0,4232;0,449
0,1640;-0,1015;-0,1082;-0,4544;0,478
0,1650;-0,1213;-0,0360;-0,5415;0,556
0,1690;-0,1113;0,0505;-0,6042;0,616
0,1870;-0,1165;0,0474;-0,6512;0,663
0,1870;-0,1625;0,0850;-0,6253;0,652
0,1880;-0,1782;0,1347;-0,5971;0,638
0,1880;-0,2574;0,1249;-0,5823;0,649
0,2040;-0,3366;0,1040;-0,4891;0,603
0,2040;-0,3291;0,0815;-0,2726;0,435
0,2050;-0,2932;0,0336;-0,0266;0,296
0,2200;-0,2181;-0,0361;0,1930;0,294
0,2210;-0,0863;-0,2195;0,3470;0,420
0,2210;0,0432;-0,3383;0,2976;0,453
0,2390;0,1485;-0,3808;0,1471;0,434
0,2400;0,2484;-0,4313;0,0640;0,502
0,2410;0,4129;-0,4577;0,0527;0,619
0,2530;0,5179;-0,4396;-0,0242;0,680
0,2540;0,5686;-0,4357;-0,0829;0,721
0,2550;0,6241;-0,4342;-0,0760;0,764
0,2560;0,6036;-0,4054;-0,0703;0,731
0,2580;0,5262;-0,3809;-0,0826;0,655
0,2640;0,4966;-0,3645;-0,0376;0,617
0,2700;0,3593;-0,3088;0,0156;0,474
0,2870;0,2518;-0,2395;0,0721;0,355
0,2880;0,2356;-0,1975;0,1023;0,324
0,2880;0,2316;-0,1161;0,1849;0,318
0,2890;0,2282;-0,0771;0,2541;0,350
0,3030;0,1533;-0,0494;0,3209;0,359
0,3030;0,1121;-0,0218;0,3709;0,388
0,3040;0,0735;-0,0323;0,3828;0,391
0,3180;0,0558;-0,0554;0,2578;0,270
0,3200;0,1058;-0,0827;0,1313;0,188
0,3210;0,1676;-0,0615;0,0901;0,200
0,3280;0,2203;-0,0428;0,1565;0,274
0,3290;0,2168;-0,0584;0,2298;0,321
0,3340;0,2314;-0,1129;0,3112;0,404
0,3390;0,2538;-0,1201;0,3768;0,470
0,3450;0,2411;-0,1659;0,4326;0,522
0,3490;0,1802;-0,1762;0,3739;0,451
0,3530;0,1023;-0,1665;0,2654;0,330
0,3610;0,0797;-0,0962;0,2134;0,247
0,3640;0,0164;-0,0570;0,0865;0,105
0,3690;0,0243;-0,0367;-0,0970;0,106
0,3770;0,0446;-0,0016;-0,1891;0,194
0,3820;0,0611;-0,0065;-0,2560;0,263
0,3840;0,0249;-0,0166;-0,2451;0,247
0,3890;-0,0092;-0,0052;-0,2201;0,220
0,3950;-0,0201;0,0259;-0,1833;0,186
0,4010;-0,0733;0,0289;-0,0693;0,105
0,4040;-0,0352;0,0480;-0,0513;0,079
0,4180;0,0090;0,0150;0,0215;0,028
0,4190;0,0383;0,0419;0,0738;0,093
0,4190;0,0102;0,0486;0,0626;0,080
0,4270;-0,0044;0,0232;0,0860;0,089
0,4280;-0,0247;0,0028;0,0306;0,039
0,4370;-0,0770;-0,0271;0,0362;0,089
0,4380;-0,0543;0,0016;0,0622;0,083
0,4510;-0,0244;-0,0174;0,0355;0,046
0,4510;-0,0054;0,0008;0,0280;0,029
0,4540;-0,0356;-0,0003;0,1064;0,112
0,4600;-0,0506;0,0187;0,1738;0,182
0,4640;-0,0552;-0,0046;0,1754;0,184
0,4680;-0,0519;-0,0020;0,2128;0,219
0,4760;0,0133;0,0002;0,1368;0,137
0,4790;0,0057;-0,0180;0,0398;0,044
0,4840;0,0221;-0,0492;-0,0343;0,064
0,4900;0,0164;-0,0881;-0,0375;0,097
0,4950;0,0577;-0,0397;-0,0894;0,114
0,5010;0,0637;-0,0637;-0,1398;0,166
0,5040;0,0619;-0,0554;-0,1078;0,136
