time;ax;ay;az;aT
0,0050;-0,1025;0,1263;0,1437;0,217
0,0050;0,0093;0,0517;0,2384;0,244
0,0060;0,1381;-0,0132;0,2995;0,330
0,0110;0,2559;-0,0437;0,5360;0,596
0,0240;0,3188;-0,1423;0,7125;0,793
0,0260;0,3499;-0,1829;0,8746;0,960
0,0410;0,3837;-0,2106;0,9248;1,023
0,0420;0,4088;-0,2521;0,8767;1,000
0,0420;0,4372;-0,2427;0,7726;0,920
0,0420;0,4546;-0,2386;0,5770;0,772
0,0560;0,5353;-0,1700;0,3356;0,654
0,0570;0,5431;-0,0547;0,1866;0,577
0,0570;0,4808;0,0551;0,0211;0,484
0,0610;0,3413;0,1133;-0,2181;0,421
0,0730;0,2236;0,1944;-0,3568;0,464
0,0730;0,1536;0,2777;-0,5480;0,633
0,0750;0,1357;0,3419;-0,6986;0,790
0,0900;0,1375;0,3002;-0,7660;0,834
0,0910;0,1730;0,2422;-0,8589;0,909
0,0920;0,1951;0,1635;-0,9238;0,958
0,1060;0,2411;0,0441;-0,9989;1,029
0,1070;0,2788;-0,0529;-1,0844;1,121
0,1080;0,3659;-0,1662;-1,0816;1,154
0,1120;0,4204;-0,2592;-1,0709;1,179
0,1170;0,5207;-0,3812;-0,9238;1,127
0,1210;0,5851;-0,5486;-0,7257;1,082
0,1260;0,6202;-0,6821;-0,3659;0,992
0,1320;1,0739;-0,9980;0,7148;1,631
0,1370;1,4510;-1,2989;1,6523;2,554
0,1420;1,4847;-1,4372;1,8684;2,786
0,1610;1,2306;-1,3940;2,0796;2,790
0,1620;1,0962;-1,1717;2,0644;2,615
0,1620;1,1265;-0,8475;2,0893;2,520
0,1630;0,9217;-0,3986;1,8754;2,127
0,1670;0,6149;-0,0754;1,4666;1,592
0,1710;0,2831;0,1152;1,1642;1,204
0,1760;-0,0056;0,2147;0,9281;0,953
0,1840;-0,2807;0,2822;0,6628;0,773
0,1860;-0,4615;0,3592;0,3682;0,691
0,1910;-0,4811;0,3630;0,1609;0,624
0,1980;-0,3614;0,3224;0,0332;0,485
