time;ax;ay;az;aT
0,0040;-0,3330;-0,5011;-0,2525;0,652
0,0040;-0,3851;-0,3236;-0,0506;0,506
0,0070;-0,4434;-0,1924;0,0837;0,490
0,0120;-0,5038;-0,0736;0,2795;0,581
0,0170;-0,4836;0,0207;0,4991;0,695
0,0210;-0,3708;0,0650;0,6313;0,735
0,0300;-0,2256;0,0290;0,6639;0,702
0,0320;-0,0468;-0,0309;0,6238;0,626
0,0380;0,1237;-0,0657;0,4778;0,498
0,0480;0,2018;-0,0730;0,2806;0,353
0,0490;0,2036;-0,0835;0,0547;0,227
0,0520;0,2135;-0,0171;-0,0867;0,231
0,0620;0,2231;0,0357;-0,3225;0,394
0,0630;0,2339;0,0299;-0,5262;0,577
0,0670;0,3299;-0,0145;-0,6119;0,695
0,0710;0,4682;0,0318;-0,6477;0,800
0,0780;0,6982;0,2309;-0,7320;1,038
0,0820;0,7229;0,2721;-0,7452;1,073
0,0860;0,6518;0,1752;-0,6639;0,947
0,0930;0,6831;0,1018;-0,4944;0,849
0,0970;0,6168;0,0680;-0,3641;0,719
0,1020;0,4857;-0,0447;-0,1935;0,525
0,1090;0,3313;-0,0765;-0,0895;0,352
0,1120;0,1759;-0,0939;0,0169;0,200
0,1170;0,0306;-0,0975;0,1230;0,160
0,1220;-0,0476;-0,1029;0,2156;0,244
0,1270;-0,1629;-0,0495;0,2368;0,292
0,1320;-0,2632;-0,0570;0,2428;0,363
0,1360;-0,4145;-0,0390;0,1285;0,436
0,1520;-0,4993;-0,0170;0,1828;0,532
0,1540;-0,5346;0,0930;0,2540;0,599
0,1550;-0,4950;0,1644;0,0235;0,522
0,1620;-0,4660;0,1427;-0,0476;0,490
0,1640;-0,3912;0,0515;0,0538;0,398
0,1680;-0,2827;-0,0637;0,2492;0,382
0,1730;-0,1378;-0,1307;0,4223;0,463
0,1960;0,0419;-0,1665;0,4514;0,483
0,1970;0,1518;-0,1701;0,5270;0,574
0,1980;0,2050;-0,1865;0,5808;0,644
0,1980;0,2885;-0,1765;0,6634;0,745
0,1990;0,4003;-0,2961;0,7589;0,908
0,2030;0,5277;-0,3288;0,8028;1,015
0,2100;0,6293;-0,3399;0,7670;1,049
0,2120;0,7407;-0,3150;0,7389;1,093
0,2170;0,7998;-0,2698;0,7256;1,113
0,2220;0,8268;-0,2022;0,6795;1,089
0,2280;0,7904;-0,1315;0,5949;0,998
0,2340;0,7973;-0,0579;0,5521;0,972
0,2410;0,7360;0,0269;0,5187;0,901
0,2450;0,7503;0,0779;0,5849;0,955
0,2480;0,7004;0,0211;0,6348;0,946
0,2530;0,5931;-0,0500;0,6825;0,906
0,2610;0,3914;-0,1483;0,7387;0,849
0,2620;0,1214;-0,2953;0,8391;0,898
0,2680;-0,1385;-0,4061;1,0122;1,099
0,2720;-0,4286;-0,4707;1,1606;1,324
0,2780;-0,7004;-0,5051;1,2728;1,538
0,2830;-0,9673;-0,4598;1,3196;1,699
0,2870;-1,1813;-0,4689;1,3241;1,835
0,3020;-1,3008;-0,4380;1,2939;1,886
0,3030;-1,3743;-0,4187;1,2135;1,881
0,3040;-1,4036;-0,3542;1,0716;1,801
0,3110;-1,3706;-0,2563;0,8455;1,631
0,3160;-1,2568;-0,1877;0,5755;1,395
0,3170;-1,0663;-0,1226;0,4088;1,149
0,3270;-0,8609;-0,1392;0,2837;0,917
0,3280;-0,6431;-0,1327;0,1755;0,680
0,3340;-0,3864;-0,1100;0,1219;0,420
0,3380;-0,1960;-0,0520;-0,0315;0,205
0,3430;-0,0481;0,0155;-0,0579;0,077
0,3480;0,1115;0,1105;-0,0310;0,160
0,3520;0,2213;0,1947;0,0410;0,298
0,3600;0,3273;0,2762;0,0900;0,438
0,3630;0,4606;0,3608;0,2189;0,625
0,3680;0,6386;0,3791;0,3814;0,835
0,3720;0,7843;0,4371;0,4988;1,027
0,3780;0,8842;0,4723;0,5647;1,151
0,3830;0,9741;0,3959;0,5832;1,202
0,3870;1,0220;0,3571;0,5264;1,204
0,3950;1,0929;0,2959;0,4269;1,210
0,3980;1,0916;0,2302;0,2657;1,147
0,4040;1,0609;0,2128;0,0964;1,086
0,4110;1,0004;0,1493;-0,1418;1,021
0,4140;0,8859;0,1288;-0,3876;0,976
0,4180;0,6897;0,0749;-0,6040;0,920
0,4220;0,5220;0,0672;-0,6939;0,871
0,4280;0,3051;0,1048;-0,7086;0,779
0,4330;0,0670;0,1056;-0,7966;0,806
0,4380;-0,0328;-0,0376;-0,8269;0,828
0,4530;-0,1448;-0,1809;-0,8929;0,922
0,4540;-0,2414;-0,2358;-0,9529;1,011
0,4540;-0,3605;-0,2301;-0,9126;1,008
0,4600;-0,4507;-0,1644;-0,8733;0,996
0,4630;-0,4871;-0,0950;-0,8252;0,963
