time;ax;ay;az;aT
0,0270;0,1676;-0,0101;-0,6368;0,659
0,0280;0,1830;0,0942;-0,6045;0,639
0,0290;0,1980;0,1678;-0,5322;0,592
0,0290;0,2873;0,1722;-0,3218;0,464
0,0300;0,4475;0,2241;0,0021;0,500
0,0300;0,5788;0,2271;0,2274;0,662
0,0310;0,6218;0,2527;0,2973;0,734
0,0310;0,5782;0,2490;0,3582;0,724
0,0330;0,4988;0,3080;0,3696;0,693
0,0380;0,3870;0,3004;0,3951;0,629
0,0540;0,2625;0,2633;0,3689;0,524
0,0550;0,1792;0,2399;0,3256;0,442
0,0560;0,1832;0,2014;0,2701;0,384
0,0900;0,2190;0,1515;0,1819;0,323
0,0910;0,2232;0,0748;0,0850;0,250
0,0910;0,2152;0,0156;-0,0722;0,228
0,0910;0,1413;-0,0222;-0,2469;0,285
0,0920;0,0500;-0,0086;-0,3662;0,370
0,0920;-0,0248;-0,0342;-0,4882;0,490
0,0930;-0,1675;-0,0294;-0,6142;0,637
0,0930;-0,2744;0,0083;-0,6139;0,673
0,1090;-0,2459;0,0045;-0,5855;0,635
0,1090;-0,1900;0,0656;-0,6089;0,641
0,1090;-0,0860;0,0866;-0,6545;0,666
0,1290;-0,0639;0,0892;-0,6879;0,697
0,1300;-0,1193;0,0820;-0,5548;0,573
0,1300;-0,1158;0,1199;-0,4050;0,438
0,1300;-0,1089;0,1358;-0,3219;0,366
0,1490;-0,1478;0,1116;-0,1535;0,241
0,1500;-0,1413;0,0770;0,0156;0,162
0,1500;-0,1387;0,0340;0,1738;0,225
0,1510;-0,0396;-0,0189;0,3430;0,346
0,1670;0,0537;-0,0338;0,5090;0,513
0,1680;0,1248;-0,1107;0,5752;0,599
0,1690;0,1055;-0,1215;0,5805;0,602
0,1700;0,1096;-0,1036;0,5643;0,584
0,1830;0,1250;-0,1513;0,5158;0,552
0,1830;0,0946;-0,1725;0,3167;0,373
0,1840;0,1123;-0,1671;0,1331;0,241
0,2260;0,0950;-0,1370;-0,0414;0,172
0,2270;0,0455;-0,0220;-0,1152;0,126
0,2270;-0,0472;0,0798;-0,1808;0,203
0,2280;-0,1523;0,1686;-0,2036;0,305
0,2280;-0,1762;0,1847;-0,2220;0,338
0,2290;-0,1573;0,1484;-0,1857;0,285
0,2290;-0,1254;0,1446;-0,2023;0,279
0,2300;-0,1115;0,1149;-0,1774;0,239
0,2310;-0,1225;0,0722;-0,1779;0,228
0,2390;-0,1184;0,0440;-0,1677;0,210
0,2390;-0,1311;0,0507;-0,1505;0,206
0,2440;-0,1244;0,0239;-0,1226;0,176
0,2480;-0,0037;-0,0410;-0,1953;0,200
0,2530;0,1125;-0,0410;-0,1414;0,185
0,2580;0,1942;-0,0095;0,0340;0,197
0,2630;0,1946;0,0055;0,0438;0,200
0,2680;0,1681;0,0348;0,0513;0,179
0,2730;0,1732;0,0003;0,0759;0,189
0,2790;0,2688;-0,0524;0,0544;0,279
0,2850;0,3853;-0,1318;-0,0396;0,409
0,2890;0,4491;-0,1421;-0,1785;0,504
0,3040;0,3926;-0,1235;-0,2241;0,469
0,3040;0,3029;-0,0197;-0,2545;0,396
0,3050;0,2216;0,0915;-0,2973;0,382
0,3080;0,1631;0,1419;-0,2912;0,363
