time;ax;ay;az;aT
0,0130;-0,0301;0,0639;0,4302;0,436
0,0140;-0,0591;0,0379;0,4373;0,443
0,0140;-0,0763;0,0622;0,4171;0,429
0,0150;-0,0808;0,0804;0,3612;0,379
0,0150;-0,0564;0,0653;0,3020;0,314
0,0200;-0,0187;0,0922;0,3146;0,328
0,0270;-0,0143;0,0272;0,3080;0,310
0,0290;-0,0324;-0,0232;0,3230;0,325
0,0350;-0,0539;0,0377;0,3392;0,346
0,0450;-0,0763;0,0756;0,3304;0,347
0,0460;-0,0837;0,1347;0,2513;0,297
0,0500;-0,1297;0,0799;0,1464;0,211
0,0550;-0,1686;0,0278;0,0693;0,184
0,0620;-0,1541;0,0250;0,0019;0,156
0,0650;-0,1238;0,0550;-0,0618;0,149
0,0710;-0,1090;0,0726;-0,1600;0,207
0,0760;-0,0834;0,0623;-0,0899;0,138
0,0800;0,0734;0,1005;0,0503;0,134
0,0850;0,1795;0,1007;0,1257;0,241
0,0940;0,1861;0,0497;0,1292;0,232
0,0950;0,1367;0,0291;0,1147;0,181
0,1000;0,1165;0,0170;0,0884;0,147
0,1040;0,1256;0,0838;0,0228;0,153
0,1100;0,1364;0,1088;0,0482;0,181
0,1150;0,1190;0,1564;0,0269;0,198
0,1200;0,1212;0,1610;0,0142;0,202
0,1350;0,1943;0,1609;-0,0116;0,253
0,1360;0,2230;0,1533;-0,0241;0,272
0,1370;0,2067;0,1573;-0,0924;0,276
0,1430;0,2409;0,1395;-0,1008;0,296
0,1530;0,2418;0,1502;-0,1437;0,319
0,1540;0,1464;0,1250;-0,1912;0,271
0,1540;0,1115;0,0952;-0,1897;0,240
0,1690;0,0854;0,0879;-0,1665;0,207
0,1700;0,0835;0,0872;-0,0919;0,152
0,1700;0,1010;0,0845;0,0306;0,135
0,1780;0,1367;0,0865;0,0397;0,167
0,1800;0,1583;0,0431;-0,0286;0,167
0,1850;0,1644;0,0179;-0,0057;0,165
0,1900;0,1431;0,0206;-0,0113;0,145
0,1950;0,1405;0,0202;-0,0764;0,161
0,2000;0,1515;0,0053;-0,1186;0,192
0,2040;0,1867;0,0072;-0,0985;0,211
0,2100;0,1291;0,0464;-0,1013;0,170
0,2150;0,1056;0,0790;-0,1196;0,178
0,2190;0,0465;0,0763;-0,1058;0,138
0,2270;-0,0351;0,0873;-0,0718;0,118
0,2310;-0,0662;0,0592;-0,0189;0,091
0,2360;-0,0530;0,0587;0,0243;0,083
0,2450;0,0079;0,0213;0,0220;0,032
0,2460;0,0503;-0,0508;0,0269;0,076
0,2510;0,1003;-0,0942;0,0103;0,138
0,2690;0,1637;-0,0827;0,0713;0,197
0,2700;0,1614;-0,0883;0,0164;0,185
0,2700;0,1723;-0,0523;-0,0254;0,182
0,2710;0,1904;-0,0295;-0,0312;0,195
0,2810;0,1434;0,0003;0,0514;0,152
0,2820;0,1092;-0,0184;0,1243;0,166
0,2850;0,1006;-0,0079;0,2116;0,234
0,2900;0,0812;-0,0318;0,2092;0,227
0,3010;0,0345;-0,0594;0,2358;0,246
0,3020;0,0367;-0,0425;0,2553;0,261
0,3060;0,0090;-0,0064;0,2021;0,202
0,3110;0,0011;0,0938;0,1424;0,170
0,3160;-0,0658;0,1404;0,0085;0,155
0,3200;-0,1710;0,1403;-0,0827;0,236
0,3260;-0,1483;0,0933;-0,1767;0,249
0,3310;-0,0745;0,0383;-0,2665;0,279
0,3360;-0,0293;-0,0124;-0,3428;0,344
0,3400;-0,0277;-0,0313;-0,4591;0,461
0,3460;-0,0664;-0,0383;-0,4680;0,474
0,3510;-0,0570;-0,0119;-0,4429;0,447
0,3560;-0,0536;-0,0707;-0,3639;0,375
