time;ax;ay;az;aT
0,0040;-0,1263;-0,0488;-0,2958;0,325
0,0050;-0,1823;0,1251;-0,2737;0,352
0,0090;-0,1069;0,2302;-0,2235;0,338
0,0140;-0,0383;0,2526;-0,0924;0,272
0,0180;0,0424;0,2201;-0,0168;0,225
0,0280;0,1057;0,1439;0,0695;0,192
0,0290;0,0802;0,0830;0,1737;0,209
0,0340;0,0175;0,0533;0,2243;0,231
0,0380;-0,0115;0,0243;0,2009;0,203
0,0440;-0,0137;0,0174;0,1708;0,172
0,0490;0,0317;0,0424;0,0824;0,098
0,0530;0,0314;0,0251;-0,0331;0,052
0,0680;0,0968;0,0303;-0,0622;0,119
0,0690;0,0578;0,0345;-0,0731;0,099
0,0690;0,0486;0,0008;-0,1101;0,120
0,0920;0,0356;0,0539;-0,1279;0,143
0,0920;-0,0029;0,0742;-0,1826;0,197
0,0930;0,0182;0,0752;-0,2600;0,271
0,0930;0,0021;0,0747;-0,2417;0,253
0,0940;-0,0249;0,0850;-0,2317;0,248
0,1030;-0,0092;0,0824;-0,2290;0,244
0,1030;-0,0163;0,0691;-0,1593;0,174
0,1090;-0,0452;0,1014;-0,1161;0,161
0,1130;-0,0652;0,0606;-0,0825;0,121
0,1180;-0,0566;0,0941;-0,0466;0,119
0,1240;-0,0762;0,0653;0,0096;0,101
0,1290;-0,0749;0,0617;0,0156;0,098
0,1340;-0,0710;0,0740;-0,0323;0,107
0,1410;-0,0752;0,0602;-0,0084;0,097
0,1440;-0,0830;0,0469;-0,0086;0,096
0,1490;-0,0189;0,0044;0,0031;0,020
0,1530;0,0131;0,0091;0,0088;0,018
0,1590;0,0210;0,0379;0,0276;0,051
0,1640;0,0159;0,0419;0,0439;0,063
0,1690;-0,0151;0,0183;0,1212;0,123
0,1840;-0,0311;-0,0093;0,1506;0,154
0,1850;-0,0645;0,0095;0,1597;0,173
0,1850;-0,0482;0,0002;0,1306;0,139
0,1930;-0,0180;-0,0047;0,1626;0,164
0,1950;-0,0138;-0,0254;0,1241;0,127
0,2010;-0,0117;0,0108;0,0976;0,099
0,2030;0,0302;0,0204;0,0532;0,065
0,2150;0,0234;0,0333;-0,0054;0,041
0,2150;-0,0117;0,0508;-0,0567;0,077
0,2190;-0,0549;0,0179;-0,1378;0,149
0,2270;-0,0577;0,0459;-0,1544;0,171
0,2290;-0,0797;0,0737;-0,2326;0,257
0,2340;-0,0924;0,0542;-0,2366;0,260
0,2390;-0,0985;0,0506;-0,1872;0,218
0,2440;-0,0944;0,0358;-0,2036;0,227
0,2490;-0,0576;0,0417;-0,1855;0,199
0,2530;-0,0643;0,0221;-0,1368;0,153
0,2660;-0,0509;0,0102;-0,0992;0,112
0,2660;-0,0197;0,0070;-0,0015;0,021
0,2690;-0,0053;-0,0330;0,0373;0,050
0,2750;-0,0203;-0,0417;0,0329;0,057
0,2790;-0,0053;-0,0304;0,0311;0,044
0,2840;0,0087;-0,0420;0,0577;0,072
0,2930;0,0003;-0,0431;-0,0024;0,043
0,2940;-0,0422;0,0162;-0,0146;0,047
0,2990;-0,0415;0,0641;-0,0076;0,077
0,3040;-0,0772;0,0505;0,0077;0,093
0,3090;-0,1406;0,0448;-0,0317;0,151
0,3150;-0,1523;0,0767;-0,0445;0,176
0,3190;-0,1424;0,0878;-0,0215;0,169
0,3250;-0,1151;0,0782;0,0262;0,142
0,3290;-0,0641;0,0532;-0,0047;0,083
0,3340;-0,0425;0,0310;-0,0711;0,088
0,3410;-0,0711;0,0217;-0,1168;0,138
0,3450;-0,0655;0,0240;-0,1457;0,162
0,3490;-0,0870;0,0187;-0,1946;0,214
0,3540;-0,0830;0,0074;-0,2563;0,270
0,3600;-0,0962;0,0303;-0,2690;0,287
0,3640;-0,0908;0,0493;-0,2473;0,268
0,3690;-0,0591;0,0691;-0,1784;0,200
0,3860;-0,0522;0,0919;-0,0984;0,144
0,3870;-0,0423;0,0915;-0,0452;0,110
0,3870;-0,0529;0,0926;0,0004;0,107
0,3930;-0,0278;0,1081;0,0812;0,138
0,4010;-0,0320;0,0676;0,1554;0,172
0,4010;-0,0356;0,0509;0,2302;0,238
0,4040;-0,0336;0,0265;0,2677;0,271
0,4240;0,0017;0,0420;0,2337;0,237
0,4250;0,0522;0,0637;0,2084;0,224
0,4260;0,0159;0,0582;0,0992;0,116
0,4270;-0,0417;0,1316;0,0609;0,151
0,4300;-0,0864;0,1658;-0,0043;0,187
0,4350;-0,0866;0,1482;-0,0322;0,175
0,4410;-0,0384;0,1742;-0,0621;0,189
0,4450;-0,0912;0,1984;-0,0668;0,228
0,4500;-0,1447;0,1792;0,0046;0,230
0,4540;-0,1365;0,1599;0,0019;0,210
0,4610;-0,1553;0,1383;-0,0293;0,210
0,4650;-0,1420;0,1241;-0,0139;0,189
0,4700;-0,1301;0,0698;-0,0460;0,155
