time;ax;ay;az;aT
0,0060;-0,1483;0,0058;0,2670;0,305
0,0070;-0,0368;-0,0157;0,8416;0,843
0,0140;0,0666;-0,0342;1,5294;1,531
0,0150;0,2567;-0,0424;2,0543;2,071
0,0190;0,4667;-0,0457;2,2311;2,280
0,0250;0,5521;-0,0857;2,1333;2,205
0,0290;0,5362;-0,1860;1,8365;1,922
0,0340;0,4259;-0,2979;1,4034;1,497
0,0410;0,1774;-0,3544;0,9417;1,022
0,0440;-0,0678;-0,2200;0,4787;0,531
0,0490;-0,3075;-0,1478;0,1474;0,372
0,0570;-0,5187;-0,0877;-0,1211;0,540
0,0590;-0,5890;-0,0532;-0,2740;0,652
0,0640;-0,6258;-0,0398;-0,4142;0,752
0,0690;-0,5483;-0,0950;-0,4730;0,730
0,0880;-0,4188;-0,0981;-0,4687;0,636
0,0890;-0,3262;-0,0399;-0,4516;0,558
0,0900;-0,1837;-0,0517;-0,4349;0,475
0,0900;-0,1231;-0,0463;-0,4498;0,469
0,0960;-0,0569;-0,0244;-0,5462;0,550
0,1020;-0,0088;0,0274;-0,5322;0,533
0,1440;-0,0090;0,0499;-0,5516;0,554
0,1450;-0,0152;0,0148;-0,5244;0,525
0,1450;-0,0874;-0,0684;-0,3139;0,333
0,1460;-0,1295;-0,1286;-0,0173;0,183
0,1460;-0,1240;-0,1359;0,2033;0,274
0,1470;-0,1237;-0,1672;0,3940;0,446
0,1470;-0,0713;-0,2029;0,5528;0,593
0,1480;-0,0202;-0,1769;0,6515;0,675
0,1480;0,0060;-0,1579;0,6573;0,676
0,1480;0,0281;-0,1082;0,6650;0,674
0,1600;0,1067;-0,0137;0,6613;0,670
0,1600;0,1528;0,0913;0,6417;0,666
0,1750;0,1682;0,2122;0,5979;0,656
0,1750;0,1552;0,3077;0,5430;0,643
0,1760;0,1506;0,3326;0,4987;0,618
0,1900;0,1874;0,3304;0,4147;0,562
0,1900;0,1458;0,3067;0,2802;0,440
0,1910;0,1363;0,2134;0,0775;0,265
0,2070;0,1221;0,1658;-0,0790;0,221
0,2080;0,0371;0,0239;-0,2600;0,264
0,2090;-0,0061;-0,0782;-0,3640;0,372
0,2580;-0,0560;-0,1253;-0,4462;0,467
0,2590;-0,0883;-0,1210;-0,4914;0,514
0,2590;-0,0472;-0,0705;-0,5258;0,533
