time;ax;ay;az;aT
0,0220;0,5116;0,1672;1,4984;1,592
0,0220;0,5430;0,0838;1,6340;1,724
0,0230;0,5020;0,0158;1,6501;1,725
0,0230;0,4482;-0,0719;1,5368;1,602
0,0240;0,3173;-0,1890;1,3280;1,378
0,0240;0,1990;-0,2471;1,0504;1,097
0,0250;0,0494;-0,2497;0,7730;0,814
0,0250;-0,1109;-0,2096;0,4567;0,515
0,0260;-0,3110;-0,1515;0,0104;0,346
0,0320;-0,4936;-0,0834;-0,3826;0,630
0,0340;-0,5820;0,0255;-0,5362;0,792
0,0400;-0,4650;0,1886;-0,5044;0,712
0,0540;-0,2667;0,3454;-0,5237;0,682
0,0550;-0,0566;0,5057;-0,4581;0,685
0,1000;0,1642;0,5344;-0,3756;0,674
0,1010;0,3214;0,4748;-0,3138;0,654
0,1010;0,4582;0,3409;-0,1602;0,593
0,1020;0,6201;0,2165;0,0518;0,659
0,1020;0,7643;0,1334;0,3558;0,854
0,1030;0,8536;0,1554;0,5578;1,031
0,1030;0,8803;0,2112;0,7422;1,171
0,1040;0,8263;0,2765;0,9145;1,263
0,1040;0,7180;0,2885;0,9524;1,227
0,1050;0,5776;0,1435;0,8891;1,070
0,1050;0,5029;-0,0378;0,7560;0,909
0,1190;0,3465;-0,1595;0,6542;0,757
0,1190;0,1650;-0,2096;0,5203;0,585
0,1200;-0,0259;-0,1546;0,3670;0,399
0,1400;-0,2702;-0,0864;0,1724;0,332
0,1410;-0,4704;-0,0238;0,0319;0,472
0,1410;-0,6226;0,0406;-0,0589;0,627
0,1420;-0,7818;0,1192;-0,1291;0,801
0,1610;-0,7832;0,2037;-0,0179;0,809
0,1620;-0,6613;0,2477;0,1069;0,714
0,1620;-0,5700;0,2309;0,1092;0,625
0,1630;-0,4944;0,1703;0,0849;0,530
0,1770;-0,3255;0,1152;0,0613;0,351
0,1790;-0,2375;0,0941;0,1553;0,299
0,1790;-0,2032;0,0749;0,2146;0,305
0,2260;-0,1655;0,0421;0,2587;0,310
0,2260;-0,1791;0,0230;0,2961;0,347
0,2270;-0,1954;-0,0089;0,2983;0,357
0,2270;-0,1782;-0,0165;0,3072;0,356
0,2280;-0,1563;-0,0106;0,3084;0,346
0,2290;-0,1370;0,0530;0,2793;0,316
0,2290;-0,1846;0,0978;0,2544;0,329
0,2300;-0,2906;0,0642;0,2766;0,406
0,2310;-0,2651;0,1389;0,2702;0,403
0,2310;-0,2628;0,2108;0,4273;0,544
0,2320;-0,3510;0,2236;0,6306;0,756
0,2380;-0,3720;0,1249;0,7774;0,871
0,2390;-0,3981;0,0447;0,9998;1,077
0,2510;-0,3493;0,0008;1,1544;1,206
0,2520;-0,2980;-0,1031;1,2806;1,319
0,2560;-0,2058;-0,2932;1,3021;1,350
0,2670;-0,1168;-0,4466;1,2721;1,353
0,2680;-0,0434;-0,5039;1,2210;1,322
0,2720;0,1098;-0,4764;1,0439;1,153
0,2750;0,2167;-0,3536;0,7819;0,885
0,2810;0,3562;-0,2848;0,5878;0,744
0,2850;0,5328;-0,1398;0,4256;0,696
0,2910;0,6476;-0,0582;0,2162;0,685
0,3110;0,6779;-0,0543;-0,0271;0,681
0,3110;0,6763;-0,0990;-0,2793;0,738
0,3120;0,6757;-0,2170;-0,4179;0,824
0,3120;0,6798;-0,2871;-0,5618;0,927
0,3200;0,5783;-0,3666;-0,7208;0,994
0,3260;0,2624;-0,5759;-0,7851;1,008
0,3260;-0,2555;-1,0470;-0,8508;1,373
0,3750;-0,4278;-0,8417;-0,9420;1,334
0,3760;-0,4974;-0,3859;-1,1590;1,319
0,3770;-0,6438;-0,2016;-1,2783;1,445
0,3770;-0,7367;-0,0220;-1,2487;1,450
0,3780;-0,7822;0,1112;-1,1878;1,427
0,3780;-0,7879;0,1673;-1,1785;1,427
0,3790;-0,7446;0,1493;-1,3405;1,541
0,3800;-0,6627;0,0851;-1,4718;1,616
0,3800;-0,5797;0,0405;-1,4783;1,588
0,3810;-0,4680;0,0166;-1,3627;1,441
0,3810;-0,3198;-0,0440;-1,2662;1,307
0,3860;-0,2261;-0,0899;-1,1537;1,179
0,3910;-0,1416;-0,1155;-1,0798;1,095
0,3970;-0,0813;-0,0554;-0,9976;1,002
0,4010;-0,0185;-0,0809;-0,9186;0,922
0,4060;0,1325;-0,0499;-0,9091;0,920
0,4130;0,2694;-0,0594;-0,8339;0,878
0,4150;0,3572;-0,0929;-0,7036;0,795
0,4250;0,4359;-0,1479;-0,5518;0,719
0,4310;0,4452;-0,1600;-0,3830;0,609
0,4320;0,4150;-0,1785;-0,2041;0,496
0,4360;0,4059;-0,1656;-0,1353;0,459
0,4410;0,4052;-0,1011;-0,0986;0,429
0,4570;0,3372;-0,0089;-0,0810;0,347
0,4580;0,3010;0,0559;-0,0704;0,314
0,4580;0,1913;0,0924;-0,0635;0,222
0,4670;0,1445;0,0412;-0,0844;0,172
0,5140;0,1183;-0,0126;-0,1477;0,190
0,5150;0,1182;-0,0577;-0,2099;0,248
0,5150;0,1207;-0,1356;-0,3274;0,374
0,5160;0,1384;-0,2246;-0,4470;0,519
0,5160;0,2031;-0,2907;-0,3349;0,488
0,5160;0,2103;-0,3065;-0,1316;0,394
0,5170;0,2510;-0,2255;0,2036;0,394
0,5170;0,3177;-0,1084;0,5387;0,635
0,5180;0,3569;0,0273;0,8124;0,888
0,5180;0,4164;0,1233;0,9615;1,055
0,5190;0,5359;0,1411;1,0079;1,150
0,5240;0,7168;0,1748;0,9486;1,202
0,5270;0,9015;0,1659;0,8374;1,242
0,5310;1,0651;0,0597;0,8234;1,348
0,5360;1,2464;0,1947;0,6707;1,429
0,5410;1,3095;0,3568;0,4860;1,442
0,5460;1,2374;0,4351;0,4433;1,385
0,5510;1,0874;0,4383;0,4276;1,248
0,5560;0,9216;0,4230;0,2463;1,044
0,5620;0,7561;0,3372;-0,0159;0,828
0,5690;0,5692;0,2591;-0,2387;0,669
0,5710;0,4438;0,2466;-0,3644;0,625
0,5760;0,3449;0,2007;-0,2930;0,495
0,5910;0,2431;0,1444;-0,2685;0,390
0,5920;0,0938;0,0729;-0,3470;0,367
0,5920;0,0105;0,0651;-0,2489;0,258
0,5990;-0,0785;0,0955;-0,0986;0,158
0,6010;-0,1598;0,0763;0,0997;0,203
0,6060;-0,1457;0,1147;0,3415;0,389
0,6570;-0,1377;0,1447;0,4919;0,531
0,6580;-0,0899;0,1347;0,4957;0,521
0,6580;-0,0147;0,0751;0,4429;0,449
0,6590;-0,0108;-0,0091;0,3350;0,335
0,6590;0,0209;-0,0352;0,2996;0,302
0,6600;0,0293;-0,0608;0,2316;0,241
0,6600;-0,0259;0,0209;0,1129;0,118
0,6610;-0,0149;0,1452;0,0414;0,152
0,6610;0,0349;0,2681;-0,0165;0,271
0,6620;0,1275;0,3801;-0,1341;0,423
0,6630;0,2181;0,4172;-0,2698;0,543
