time;ax;ay;az;aT
0,0270;0,0654;0,5665;0,5639;0,802
0,0280;0,4276;0,5086;0,9814;1,185
0,0290;0,8204;0,3261;1,3638;1,625
0,0300;1,1400;0,1987;1,6336;2,002
0,0310;1,3731;0,1249;1,7805;2,252
0,0320;1,4872;0,0243;1,8707;2,390
0,0320;1,4933;-0,0008;1,9619;2,466
0,0330;1,4343;-0,0896;1,9425;2,416
0,0330;1,2767;-0,1140;1,8317;2,236
0,0330;1,0682;-0,0976;1,6391;1,959
0,0340;0,8392;-0,1615;1,4046;1,644
0,0390;0,5343;-0,1971;1,2206;1,347
0,0520;0,1588;-0,1155;1,0371;1,055
0,0540;-0,2018;-0,0358;0,8988;0,922
0,0540;-0,4778;0,0362;0,9189;1,036
0,0860;-0,6882;0,0729;0,9069;1,141
0,0860;-0,8247;0,0673;0,9252;1,241
0,0870;-0,9023;0,0398;0,9273;1,294
0,0870;-0,8704;0,0116;0,9181;1,265
0,0880;-0,7705;0,0589;0,8788;1,170
0,0880;-0,6927;0,0958;0,8439;1,096
0,0880;-0,6455;0,0741;0,8018;1,032
0,1040;-0,5702;0,1168;0,6466;0,870
0,1050;-0,4566;0,1333;0,5370;0,717
0,1050;-0,3727;0,1456;0,2950;0,497
0,1060;-0,2976;0,1770;0,0347;0,348
0,1240;-0,3127;0,1923;-0,2538;0,446
0,1250;-0,3998;0,1717;-0,4764;0,645
0,1260;-0,4614;0,1071;-0,7946;0,925
0,1270;-0,5255;0,0659;-1,0271;1,156
0,1440;-0,5053;0,0410;-1,1507;1,257
0,1450;-0,3570;0,1807;-1,1516;1,219
0,1460;-0,1639;0,3254;-1,1316;1,189
0,1620;0,0604;0,3927;-1,0463;1,119
0,1630;0,3193;0,3504;-0,8146;0,943
0,1630;0,5519;0,3204;-0,5467;0,840
0,1640;0,6972;0,2981;-0,3988;0,857
0,1960;0,7625;0,2722;-0,2618;0,851
0,1970;0,7496;0,2832;-0,0604;0,804
0,1980;0,6707;0,3081;0,0764;0,742
0,1980;0,5699;0,3153;0,2110;0,685
0,1980;0,5198;0,3075;0,2350;0,648
0,1990;0,3767;0,2859;0,1820;0,507
0,1990;0,2368;0,2321;-0,0245;0,332
0,2090;0,0603;0,2050;-0,2864;0,357
0,2090;-0,1199;0,1754;-0,4239;0,474
0,2220;-0,2297;0,0879;-0,4679;0,529
0,2230;-0,2411;-0,1209;-0,3599;0,450
0,2230;-0,0984;-0,2638;-0,1715;0,330
0,2350;0,0944;-0,3035;0,0390;0,320
0,2350;0,2915;-0,1758;0,2545;0,425
0,2360;0,5409;-0,0014;0,3086;0,623
0,2420;0,7872;0,1318;0,2442;0,835
0,2470;0,9112;0,2261;0,1740;0,955
0,2530;0,9173;0,3078;0,0218;0,968
0,2580;0,7367;0,2950;-0,1517;0,808
0,2630;0,2284;0,2443;-0,3024;0,451
0,2680;-0,7630;-0,1519;-0,4671;0,907
0,2850;-1,5028;-0,3559;-0,6835;1,689
0,2850;-1,5509;0,1360;-0,6599;1,691
0,2860;-1,6398;0,3618;-0,7089;1,823
0,2910;-1,5607;0,3586;-0,7543;1,770
0,2960;-1,2313;0,3215;-0,6276;1,419
0,2960;-0,7942;0,1362;-0,4615;0,929
0,3010;-0,3214;-0,2124;-0,3383;0,513
0,3280;0,0840;-0,5551;-0,3324;0,652
0,3290;0,4292;-0,8065;-0,2918;0,959
0,3290;0,6639;-0,9591;-0,2055;1,184
0,3300;0,7508;-0,9519;-0,0411;1,213
0,3300;0,8018;-0,8448;-0,0012;1,165
0,3400;0,7416;-0,5890;0,0145;0,947
0,3410;0,6398;-0,3323;0,0171;0,721
0,3520;0,6145;-0,0502;-0,0631;0,620
0,3530;0,6915;0,1348;0,0328;0,705
0,3530;0,7505;0,2964;0,2467;0,844
0,3570;0,8128;0,3855;0,4759;1,018
0,3630;0,9106;0,3258;0,6490;1,165
0,3680;0,9698;0,2163;0,7237;1,229
0,3860;0,9857;0,0571;0,7927;1,266
0,3860;0,9948;-0,1567;0,7237;1,240
0,3870;0,9611;-0,3671;0,6428;1,213
0,3880;0,8866;-0,5934;0,6644;1,257
0,4020;0,7399;-0,6612;0,6223;1,171
0,4030;0,5059;-0,7041;0,5487;1,026
0,4030;0,2527;-0,6773;0,4515;0,852
0,4300;0,0182;-0,6478;0,3487;0,736
0,4310;-0,2226;-0,6020;0,2292;0,682
0,4310;-0,3605;-0,4965;0,0679;0,617
0,4320;-0,4075;-0,4421;0,0136;0,601
0,4320;-0,4101;-0,3895;0,0694;0,570
0,4330;-0,4054;-0,3405;0,0619;0,533
0,4430;-0,3499;-0,3178;0,0866;0,481
0,4430;-0,2734;-0,2620;0,0840;0,388
0,4560;-0,2092;-0,2700;0,0375;0,344
0,4570;-0,1937;-0,2857;0,0680;0,352
0,4580;-0,2211;-0,3323;0,0203;0,400
0,4690;-0,2606;-0,4191;0,0319;0,495
0,4690;-0,3981;-0,4688;-0,0464;0,617
0,4850;-0,5202;-0,4870;-0,1571;0,730
0,4860;-0,6376;-0,5119;-0,2706;0,861
0,4870;-0,6897;-0,4999;-0,3393;0,917
0,4880;-0,7122;-0,3958;-0,4114;0,913
0,5020;-0,7139;-0,2807;-0,4548;0,892
0,5030;-0,6365;-0,1760;-0,4768;0,815
0,5030;-0,5068;-0,0923;-0,5265;0,737
0,5330;-0,4031;-0,0045;-0,5560;0,687
0,5330;-0,2642;0,0672;-0,5524;0,616
0,5340;-0,1410;0,0764;-0,6017;0,623
0,5340;-0,0110;0,0998;-0,5834;0,592
0,5350;0,0617;0,1434;-0,5441;0,566
0,5360;0,0639;0,1680;-0,3777;0,418
0,5450;0,0672;0,1778;-0,1453;0,239
0,5460;0,0573;0,1714;0,0123;0,181
0,5590;0,0093;0,0728;0,1803;0,195
0,5600;0,0219;-0,0021;0,2467;0,248
0,5600;0,0271;-0,0690;0,2677;0,278
0,5710;0,0360;-0,1376;0,2185;0,261
0,5720;0,0304;-0,1133;0,1075;0,159
0,5730;0,0040;-0,0663;0,0730;0,099
0,5790;0,0149;-0,0239;0,0766;0,082
0,5830;0,0066;0,0474;0,0940;0,105
0,5880;-0,0223;0,1046;0,0679;0,127
0,6030;-0,0017;0,0909;-0,0064;0,091
0,6030;0,0682;0,1308;-0,0204;0,149
0,6040;0,1509;0,2172;0,0949;0,281
0,6090;0,2420;0,3893;0,1972;0,499
0,6130;0,3544;0,4459;0,3179;0,652
0,6430;0,4170;0,4476;0,5467;0,820
0,6440;0,5259;0,3906;0,7188;0,973
0,6440;0,6692;0,3123;0,8360;1,116
0,6450;0,7829;0,2138;0,8950;1,208
0,6450;0,7919;0,0829;0,8708;1,180
0,6460;0,6859;-0,0386;0,7635;1,027
0,6480;0,5440;-0,0694;0,6832;0,876
0,6590;0,3689;-0,1234;0,5690;0,689
0,6600;0,2098;-0,0690;0,4141;0,469
0,6630;0,0407;-0,0137;0,2625;0,266
0,6680;-0,0297;-0,0025;0,1954;0,198
0,6740;-0,0999;0,0144;0,0966;0,140
0,6790;-0,2010;0,0230;0,1070;0,229
0,6830;-0,2800;0,0473;0,1534;0,323
0,6890;-0,3397;0,0477;0,1117;0,361
0,6960;-0,3129;0,1235;0,0550;0,341
0,7000;-0,2123;0,0847;-0,0062;0,229
0,7050;-0,1238;0,0854;-0,0921;0,176
0,7100;-0,0686;0,1031;-0,2086;0,243
0,7130;0,0422;0,1070;-0,2785;0,301
0,7190;0,1395;0,1452;-0,3794;0,430
0,7370;0,1530;0,1819;-0,4590;0,517
0,7370;0,1740;0,1697;-0,4758;0,534
0,7380;0,1742;0,1809;-0,5125;0,571
0,7380;0,1538;0,0925;-0,4906;0,522
0,7480;0,1707;0,0076;-0,3531;0,392
0,7490;0,1515;-0,1016;-0,2027;0,273
0,7530;0,0807;-0,1862;0,0204;0,204
0,7760;0,0396;-0,2279;0,1849;0,296
0,7760;0,0006;-0,2966;0,4702;0,556
0,7770;-0,0395;-0,3059;0,6989;0,764
0,7770;-0,0816;-0,3484;0,9059;0,974
0,7780;-0,1457;-0,3232;0,9915;1,053
0,7830;-0,1732;-0,3626;1,0876;1,160
0,7880;-0,1779;-0,3495;1,1024;1,170
0,7940;-0,1774;-0,3105;1,0443;1,104
0,7980;-0,1817;-0,2229;0,9446;0,987
0,8030;-0,1060;-0,1595;0,8237;0,846
0,8090;-0,0366;-0,0745;0,5787;0,585
0,8130;0,0967;0,0493;0,2276;0,252
0,8180;0,2119;0,0944;-0,0803;0,245
0,8250;0,2973;0,1205;-0,3648;0,486
0,8290;0,3850;0,1245;-0,5197;0,659
0,8340;0,4645;0,1001;-0,6844;0,833
0,8390;0,4698;0,0467;-0,8207;0,947
0,8440;0,4494;-0,0020;-0,8656;0,975
0,8490;0,3958;0,0292;-0,8470;0,935
0,8650;0,3392;0,0624;-0,7483;0,824
0,8660;0,3213;0,0915;-0,5958;0,683
0,8670;0,2370;0,0674;-0,4517;0,514
0,8690;0,1120;0,0455;-0,2332;0,263
0,8990;0,0450;-0,0413;-0,0383;0,072
